interaction_id,duration_sec,outcome,escalated_flag,resolved_flag,friction_level,next_steps,ai_memo_text,timestamp,customer_id,rep_id,subreason,aht_sec,aht_min,profanity_count,repeat_7d_flag,repeat_30d_flag,fcr_7d_flag,fcr_30d_flag,trust_score,profanity,subreason_std,outcome_std
NW-20251014-0000840,357,,0,0,,Troubleshooting completed; customer advised to monitor and call back if issue persists.,"[2025-10-14T00:58:28] Interaction NW-20251014-0000840 | Cust=C0000001 | Rep=REP00137 | Reason=Coverage / Service Availability | Signals(tone=frustrated, friction=0.35). Customer reports service degradation: dropped calls, delayed texts, and slow data at home/work. Customer notes issue has been ongoing and is frustrating. Service not confirmed restored; troubleshooting completed; customer advised to monitor. Actions: Collected timestamps + locations for pattern documentation.; Guided device network refresh (restart/airplane mode).; Checked for known outages/maintenance impacting the customer area.; Reviewed device settings impacting calling/messaging (VoLTE, Wi-Fi calling).. Next: Troubleshooting completed; customer advised to monitor and call back if issue persists.",2025-10-14T00:58:28,C0000001,REP00137,Availability,357,5.95,0,0,0,1,1,67,0,Coverage / Service Availability,Pending-Monitor
NW-20251229-0007775,550,,0,0,,Troubleshooting completed; customer advised to monitor and call back if issue persists.,"[2025-12-29T08:56:53] Interaction NW-20251229-0007775 | Cust=C0000001 | Rep=REP00218 | Reason=Billing Dispute | Signals(tone=frustrated, friction=0.35). Customer reports promo/discount not reflecting and wants billing corrected. Customer notes issue has been ongoing and is frustrating. Billing adjustment not confirmed final; customer advised to monitor next cycle/statement. Actions: Explained proration/plan change timing if applicable.; Applied billing correction workflow where eligible.; Checked promo eligibility and effective dates.. Next: Troubleshooting completed; customer advised to monitor and call back if issue persists.",2025-12-29T08:56:53,C0000001,REP00218,Billing,550,9.17,0,1,1,0,0,51,0,Billing Dispute,Pending-Monitor
NW-20260101-0002388,597,Resolved,0,1,0.4806,Resolution confirmed; customer advised on timing (bill/promo/setting) and to monitor for recurrence.,"[2026-01-01T19:30:24] Interaction NW-20260101-0002388 | Cust=C0000001 | Rep=REP00154 | Reason=Billing Dispute | Signals(tone=frustrated, friction=0.481). Customer questions a higher-than-expected bill and requests charge breakdown. Customer notes issue has been ongoing and is frustrating. Resolved during interaction. Actions: Explained proration/plan change timing if applicable.; Reviewed bill line items and service charges.; Checked promo eligibility and effective dates.. Next: Resolution confirmed; customer advised on timing (bill/promo/setting) and to monitor for recurrence.",2026-01-01T19:30:24,C0000001,REP00154,Billing,597,9.95,0,0,0,1,1,71.37,0,Billing Dispute,Resolved
NW-20260102-0019694,698,Escalated,1,0,0.2461,Created trouble ticket (NW-TKT-2096275); follow-up expected within 1-3 days; customer advised to restart device after updates.,"[2026-01-02T19:53:51] Interaction NW-20260102-0019694 | Cust=C0000001 | Rep=REP00208 | Reason=Rural Call Completion | Signals(tone=calm, friction=0.246). Customer reports service degradation: dropped calls, delayed texts, and slow data at home/work. Service not confirmed restored; trouble ticket opened for network review. Trouble ticket created: NW-TKT-2096275. Actions: Created trouble ticket with documented reproduction details.; Guided device network refresh (restart/airplane mode).; Reviewed device settings impacting calling/messaging (VoLTE, Wi-Fi calling).; Checked for known outages/maintenance impacting the customer area.. Next: Created trouble ticket (NW-TKT-2096275); follow-up expected within 1-3 days; customer advised to restart device after updates.",2026-01-02T19:53:51,C0000001,REP00208,Availability (including rural call completion),698,11.63,0,0,1,1,0,55.93,0,Rural Call Completion,Ticket-Created
NW-20260131-0014350,509,,0,0,,Troubleshooting completed; customer advised to monitor and call back if issue persists.,"[2026-01-31T08:20:50] Interaction NW-20260131-0014350 | Cust=C0000001 | Rep=REP00005 | Reason=Unauthorized Charges | Signals(tone=frustrated, friction=0.35). Customer reports an unrecognized/unauthorized charge and requests dispute + account protection. Customer notes issue has been ongoing and is frustrating. Issue discussed; resolution not verified; customer advised to follow up if it persists. Actions: Recommended PIN/passcode update and account security checks.; Added account notes and prevention guidance.; Reviewed charge details and timeline.. Next: Troubleshooting completed; customer advised to monitor and call back if issue persists.",2026-01-31T08:20:50,C0000001,REP00005,Cramming (unauthorized charges on your phone bill),509,8.48,0,0,0,1,1,67,0,Unauthorized Charges,Pending-Monitor
NW-20260209-0015934,352,,0,0,,Troubleshooting completed; customer advised to monitor and call back if issue persists.,"[2026-02-09T04:43:44] Interaction NW-20260209-0015934 | Cust=C0000001 | Rep=REP00141 | Reason=Other: Equipment | Signals(tone=frustrated, friction=0.35). Customer requests help related to: Other: Equipment. Customer notes issue has been ongoing and is frustrating. Issue discussed; resolution not verified; customer advised to follow up if it persists. Actions: Reviewed request and provided guidance.. Next: Troubleshooting completed; customer advised to monitor and call back if issue persists.",2026-02-09T04:43:44,C0000001,REP00141,Equipment,352,5.87,0,1,1,0,0,51,0,Other: Equipment,Pending-Monitor
NW-20260215-0008850,522,,0,0,,Troubleshooting completed; customer advised to monitor and call back if issue persists.,"[2026-02-15T10:19:37] Interaction NW-20260215-0008850 | Cust=C0000001 | Rep=REP00184 | Reason=Unauthorized Charges | Signals(tone=frustrated, friction=0.35). Customer reports an unrecognized/unauthorized charge and requests dispute + account protection. Customer notes issue has been ongoing and is frustrating. Issue discussed; resolution not verified; customer advised to follow up if it persists. Actions: Initiated dispute workflow for unrecognized charges.; Added account notes and prevention guidance.; Recommended PIN/passcode update and account security checks.. Next: Troubleshooting completed; customer advised to monitor and call back if issue persists.",2026-02-15T10:19:37,C0000001,REP00184,Cramming (unauthorized charges on your phone bill),522,8.7,0,0,0,1,1,67,0,Unauthorized Charges,Pending-Monitor
NW-20251031-0011285,391,,0,0,,Troubleshooting completed; customer advised to monitor and call back if issue persists.,"[2025-10-31T22:19:27] Interaction NW-20251031-0011285 | Cust=C0000002 | Rep=REP00193 | Reason=Scam Calls | Signals(tone=frustrated, friction=0.35). Customer reports number spoofing: others claim they received calls they did not place. Customer notes issue has been ongoing and is frustrating. Protections/settings applied; effectiveness to be monitored. Actions: Enabled scam call protection / call filtering settings.; Advised blocking/reporting repeat offenders.; Explained number spoofing/scam call patterns.. Next: Troubleshooting completed; customer advised to monitor and call back if issue persists.",2025-10-31T22:19:27,C0000002,REP00193,Robocalls,391,6.52,0,0,1,1,0,61,0,Scam Calls,Pending-Monitor
NW-20251120-0003761,618,Escalated,1,0,0.3379,Trouble ticket created (NW-TKT-9815477); monitor 24-72h; customer advised to note any additional timestamps/locations.,"[2025-11-20T12:53:29] Interaction NW-20251120-0003761 | Cust=C0000002 | Rep=REP00242 | Reason=Billing Dispute | Signals(tone=frustrated, friction=0.338). Customer questions a higher-than-expected bill and requests charge breakdown. Customer notes issue has been ongoing and is frustrating. Outcome pending; trouble ticket opened for billing review and follow-up. Trouble ticket created: NW-TKT-9815477. Actions: Reviewed bill line items and service charges.; Confirmed discount prerequisites (autopay/paperless).; Explained proration/plan change timing if applicable.. Next: Trouble ticket created (NW-TKT-9815477); monitor 24-72h; customer advised to note any additional timestamps/locations.",2025-11-20T12:53:29,C0000002,REP00242,Billing,618,10.3,0,0,0,1,1,57.79,0,Billing Dispute,Ticket-Created
NW-20251125-0017440,1191,,0,0,,Troubleshooting completed; customer advised to monitor and call back if issue persists.,"[2025-11-25T07:49:53] Interaction NW-20251125-0017440 | Cust=C0000002 | Rep=REP00075 | Reason=Other: Equipment | Signals(tone=frustrated, friction=0.35). Customer requests help related to: Other: Equipment. Customer notes issue has been ongoing and is frustrating. Issue discussed; resolution not verified; customer advised to follow up if it persists. Actions: Reviewed request and provided guidance.. Next: Troubleshooting completed; customer advised to monitor and call back if issue persists.",2025-11-25T07:49:53,C0000002,REP00075,Equipment,1191,19.85,0,0,0,1,1,67,0,Other: Equipment,Pending-Monitor
NW-20260108-0013565,522,,0,0,,Troubleshooting completed; customer advised to monitor and call back if issue persists.,"[2026-01-08T05:26:36] Interaction NW-20260108-0013565 | Cust=C0000003 | Rep=REP00043 | Reason=Other: Equipment | Signals(tone=frustrated, friction=0.35). Customer requests help related to: Other: Equipment. Customer notes issue has been ongoing and is frustrating. Issue discussed; resolution not verified; customer advised to follow up if it persists. Actions: Reviewed request and provided guidance.. Next: Troubleshooting completed; customer advised to monitor and call back if issue persists.",2026-01-08T05:26:36,C0000003,REP00043,Equipment,522,8.7,0,0,0,1,1,67,0,Other: Equipment,Pending-Monitor
